"Year","Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
2018,6,"Chemical Products",634,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",63406,"Candles",1320835.33861077
2018,6,"Chemical Products",634,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",63407,"Pastes and Waxes",264953.216941632
2018,6,"Chemical Products",635,"Albuminoidal substances; modified starches; glues; enzymes",63501,"Casein",378469
2018,6,"Chemical Products",635,"Albuminoidal substances; modified starches; glues; enzymes",63503,"Gelatin",660308.042477153
2018,6,"Chemical Products",635,"Albuminoidal substances; modified starches; glues; enzymes",63504,"Peptones",744632.7613760451
2018,6,"Chemical Products",635,"Albuminoidal substances; modified starches; glues; enzymes",63505,"Dextrins",713513.396175862
2018,6,"Chemical Products",635,"Albuminoidal substances; modified starches; glues; enzymes",63506,"Glues",164307951.4399519
2018,6,"Chemical Products",635,"Albuminoidal substances; modified starches; glues; enzymes",63507,"Enzymes",1045855.3963342699
2018,6,"Chemical Products",637,"Photographic or cinematographic goods",63701,"Photographic Plates",7646916.590776452
2018,6,"Chemical Products",637,"Photographic or cinematographic goods",63702,"Photographic Film",1482201.0315397186
2018,6,"Chemical Products",637,"Photographic or cinematographic goods",63703,"Photographic Paper",834943.407272428
2018,6,"Chemical Products",637,"Photographic or cinematographic goods",63704,"Undeveloped Exposed Photographic Material",58519
2018,6,"Chemical Products",637,"Photographic or cinematographic goods",63705,"Developed Exposed Photographic Material",137431444.383845
2018,6,"Chemical Products",637,"Photographic or cinematographic goods",63706,"Motion-picture film, exposed and developed",4173.999999999999
2018,6,"Chemical Products",637,"Photographic or cinematographic goods",63707,"Photographic Chemicals",435277940.695097
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63801,"Artificial Graphite",41795754.84895852
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63802,"Activated Carbon",2598876.793333163
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63803,"Tall Oil",13024.073071319
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63804,"Wood Pulp Lyes",111559.642956266
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63805,"Turpentine",1728.21071095195
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63806,"Rosin",651747.0966942891
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63807,"Wood Tar, Oils and Pitch",5223.6976274832405
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",96946648.14055693
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63809,"Dyeing Finishing Agents",51152293.82257652
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63810,"Metal Pickling Preparations",25681621.4234549
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63811,"Antiknock",24232227.216357946
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63812,"Prepared Rubber Accelerators",53279635.85171293
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63813,"Fire Extinguishers Preparations",15440.559212363998
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63814,"Organic Composite Solvents",29127554.9062488
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63815,"Reaction and Catalytic Products",14942182.713856652
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63816,"Refractory Cements",2351535.6368542803
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63817,"Alkylbenzenes and Alkylnaphthalenes",9282401.70174709
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63818,"Disc Chemicals for Electronics",697481133.6493629
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63819,"Hydraulic Brake Fluid",606735.189311581
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63820,"Antifreeze",452447.26169437304
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63821,"Micro-Organism Culture Preparations",521760.379691768
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",19537175.2702597
2018,6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",458896985.73019284
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73901,"Ethylene Polymers",2167203289.4231133
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73902,"Propylene Polymers",1428478432.2924862
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73903,"Styrene Polymers",1226720653.0102038
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73904,"Vinyl Chloride Polymers",61749841.08128001
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73905,"Other Vinyl Polymers",11017707.640381368
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73906,"Acrylic Polymers",589528002.264243
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73907,"Polyacetals",1504105608.1104379
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73908,"Polyamides",175051659.8891404
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73909,"Amino-resins",341288392.84417444
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73910,"Silicone",77244766.42803599
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73911,"Petroleum Resins",138220685.1762793
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73912,"Cellulose",24197504.35752824
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73913,"Natural Polymers",4939082.8380377665
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73914,"Polymer Ion-Exchangers",7959064.285203209
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73915,"Scrap Plastic",1772153.6681772962
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73916,"Monofilament",5162234.665116973
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73917,"Plastic Pipes",82492504.05894601
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73918,"Plastic Floor Coverings",37566489.08511106
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73919,"Self-adhesive Plastics",610804129.6482751
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73920,"Raw Plastic Sheeting",966351522.536527
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73921,"Other Plastic Sheetings",200112844.4507864
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73922,"Plastic Wash Basins",7688293.512115728
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73923,"Plastic Lids",356841653.746657
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73924,"Plastic Housewares",41016939.43245903
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73925,"Plastic Building Materials",2231495.745933003
2018,7,"Plastics and Rubbers",739,"Plastics and articles thereof",73926,"Other Plastic Products",283185104.79107755
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74001,"Rubber",612795.7538111024
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74002,"Synthetic Rubber",569055362.9946592
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74003,"Reclaimed Rubber",949200.483886827
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74004,"Scrap Rubber",390982
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74005,"Compounded Unvulcanised Rubber",57790820.99651945
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74006,"Unvulcanised Rubber Products",192641.54179052898
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74007,"Rubber Thread",13018.5175844364
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74008,"Rubber Sheets",9789286.788266191
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74009,"Rubber Pipes",53799796.93123246
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74010,"Rubber Belting",4790042.44860316
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74011,"Rubber Tires",3945579.6246220646
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74012,"Used Rubber Tires",1415801.0576699697
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74013,"Rubber Inner Tubes",4393926.18036029
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74014,"Pharmaceutical Rubber Products",235884.6668016655
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74015,"Rubber Apparel",1021320.9850991616
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74016,"Other Rubber Products",181018520.09380585
2018,7,"Plastics and Rubbers",740,"Rubber and articles thereof",74017,"Hard Rubber",294360.893727811
2018,8,"Animal Hides",841,"Raw hides and skins (other than furskins) and leather",84103,"Other Hides and Skins",6266
2018,8,"Animal Hides",841,"Raw hides and skins (other than furskins) and leather",84104,"Tanned Equine and Bovine Hides",96813495.62066653
2018,8,"Animal Hides",841,"Raw hides and skins (other than furskins) and leather",84105,"Tanned Sheep Hides",12761155.0434275
2018,8,"Animal Hides",841,"Raw hides and skins (other than furskins) and leather",84106,"Tanned Goat Hides",306360.707142055
2018,8,"Animal Hides",841,"Raw hides and skins (other than furskins) and leather",84107,"Leather of Other Animals",769328.7404620699
2018,8,"Animal Hides",841,"Raw hides and skins (other than furskins) and leather",84108,"Chamois Leather",5808.529171309059
2018,8,"Animal Hides",841,"Raw hides and skins (other than furskins) and leather",84109,"Patent Leather",4256086.154157329
2018,8,"Animal Hides",841,"Raw hides and skins (other than furskins) and leather",84111,"Leather Sheets",1110165.0964226401
2018,8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84201,"Saddlery",64597.09187907341
2018,8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84202,"Trunks and Cases",44987863.46447295
2018,8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84203,"Leather Apparel",1492519.4192489658
2018,8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84205,"Other Leather Articles",2811913.6537677697
2018,8,"Animal Hides",842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84206,"Articles of Gut",1059.0000000000002
2018,8,"Animal Hides",843,"Furskins and artificial fur; manufactures thereof",84302,"Tanned Furskins",828314.100220303
2018,8,"Animal Hides",843,"Furskins and artificial fur; manufactures thereof",84303,"Furskin Apparel",1941307.3290717243
2018,8,"Animal Hides",843,"Furskins and artificial fur; manufactures thereof",84304,"Artificial Fur",192135.07215159698
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94401,"Fuel Wood",20154.44918087137
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94402,"Wood Charcoal",30594.838199644197
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94403,"Rough Wood",411858.67625334597
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94407,"Sawn Wood",2769390.653036381
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94408,"Veneer Sheets",807814.3461536901
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94409,"Shaped Wood",145995.831529899
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94410,"Particle Board",208719.685196597
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94411,"Wood Fiberboard",1140268.9038694154
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94412,"Plywood",166874.3588691188
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94413,"Densified Wood",1029.0143472440002
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94414,"Wood Frames",4298.859827885701
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94415,"Wood Crates",3961753.0549043203
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94416,"Wood Barrels",63800
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94418,"Wood Carpentry",90378.18608379476
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94419,"Wood Kitchenware",66770.3384578521
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94420,"Wood Ornaments",76244.3919317048
2018,9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94421,"Other Wood Articles",809140.0882041915
2018,9,"Wood Products",945,"Cork and articles of cork",94501,"Raw Cork",14561.166492738548
2018,9,"Wood Products",945,"Cork and articles of cork",94503,"Natural Cork Articles",6642.404592450781
2018,9,"Wood Products",945,"Cork and articles of cork",94504,"Agglomerated Cork",16191.50105938782
2018,9,"Wood Products",946,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",94601,"Plaiting Products",828445.7137360274
2018,9,"Wood Products",946,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",94602,"Basketwork",11475.189730843562
2018,10,"Paper Goods",1047,"Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard",104701,"Mechanical Wood Pulp",55512
2018,10,"Paper Goods",1047,"Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard",104702,"Dissolving Grades Chemical Woodpulp",36193.00000000001
2018,10,"Paper Goods",1047,"Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard",104703,"Sulfate Chemical Woodpulp",12337359.717592953
2018,10,"Paper Goods",1047,"Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard",104706,"Recovered Paper Pulp",2145759.08525721
2018,10,"Paper Goods",1047,"Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard",104707,"Recovered Paper",75056851.29255438
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104801,"Newsprint",62687420.4352892
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104802,"Uncoated Paper",16271756.484603982
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104803,"Facial Tissue",2662676.51288411
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104804,"Uncoated Kraft Paper",34415244.17911981
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104805,"Other Uncoated Paper",42474523.79077876
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104806,"Vegetable Parchment",395784.7897497347
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104807,"Composite Paper",2645334.84375964
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104808,"Corrugated Paper",1548970.5056938396
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104809,"Carbon Paper",7197488.074656379
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104810,"Kaolin Coated Paper",109028722.57226573
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104811,"Cellulose Fibers Paper",27203196.87212497
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104812,"Paper Pulp Filter Blocks",819620.180019745
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104813,"Cigarette Paper",453874.2498719826
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104814,"Wallpaper",2976796.070795249
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104816,"Other Carbon Paper",646382.8610182931
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104817,"Letter Stock",121481.50902796112
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104818,"Toilet Paper",37941324.28601281
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104819,"Paper Containers",20397170.501998045
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104820,"Paper Notebooks",1144828.0867409634
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104821,"Paper Labels",6464348.379423529
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104822,"Paper Spools",854581.946523073
2018,10,"Paper Goods",1048,"Paper and paperboard; articles of paper pulp, of paper or paperboard",104823,"Shaped Paper",16647955.691396222
2018,10,"Paper Goods",1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104901,"Brochures",6245757.698213792
